#,id,OriginalName,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
50,/050,diglett,diglett,Ground,,265,10,55,25,35,45,95,1,FALSE
51,/051,dugtrio,dugtrio,Ground,,405,35,80,50,50,70,120,1,FALSE
52,/052,meowth,meowth,Normal,,290,40,45,35,40,40,90,1,FALSE
53,/053,persian,persian,Normal,,440,65,70,60,65,65,115,1,FALSE
54,/054,psyduck,psyduck,Water,,320,50,52,48,65,50,55,1,FALSE
55,/055,golduck,golduck,Water,,500,80,82,78,95,80,85,1,FALSE
56,/056,mankey,mankey,Fighting,,305,40,80,35,35,45,70,1,FALSE
57,/057,primeape,primeape,Fighting,,455,65,105,60,60,70,95,1,FALSE
58,/058,growlithe,growlithe,Fire,,350,55,70,45,70,50,60,1,FALSE
59,/059,arcanine,arcanine,Fire,,555,90,110,80,100,80,95,1,FALSE
60,/060,poliwag,poliwag,Water,,300,40,50,40,40,40,90,1,FALSE
61,/061,poliwhirl,poliwhirl,Water,,385,65,65,65,50,50,90,1,FALSE
62,/062,poliwrath,poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,FALSE
63,/063,abra,abra,Psychic,,310,25,20,15,105,55,90,1,FALSE
64,/064,kadabra,kadabra,Psychic,,400,40,35,30,120,70,105,1,FALSE
65,/065,alakazam,alakazam,Psychic,,500,55,50,45,135,95,120,1,FALSE
65,/065_1,alakazammega alakazam,alakazam-mega,Psychic,,590,55,50,65,175,95,150,1,FALSE
66,/066,machop,machop,Fighting,,305,70,80,50,35,35,35,1,FALSE
67,/067,machoke,machoke,Fighting,,405,80,100,70,50,60,45,1,FALSE
68,/068,machamp,machamp,Fighting,,505,90,130,80,65,85,55,1,FALSE
69,/069,bellsprout,bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,FALSE
70,/070,weepinbell,weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,FALSE
71,/071,victreebel,victreebel,Grass,Poison,490,80,105,65,100,70,70,1,FALSE
72,/072,tentacool,tentacool,Water,Poison,335,40,40,35,50,100,70,1,FALSE
73,/073,tentacruel,tentacruel,Water,Poison,515,80,70,65,80,120,100,1,FALSE
74,/074,geodude,geodude,Rock,Ground,300,40,80,100,30,30,20,1,FALSE
75,/075,graveler,graveler,Rock,Ground,390,55,95,115,45,45,35,1,FALSE
76,/076,golem,golem,Rock,Ground,495,80,120,130,55,65,45,1,FALSE
77,/077,ponyta,ponyta,Fire,,410,50,85,55,65,65,90,1,FALSE
78,/078,rapidash,rapidash,Fire,,500,65,100,70,80,80,105,1,FALSE
79,/079,slowpoke,slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,FALSE
80,/080,slowbro,slowbro,Water,Psychic,490,95,75,110,100,80,30,1,FALSE
80,/080_1,slowbromega slowbro,slowbro-mega,Water,Psychic,590,95,75,180,130,80,30,1,FALSE
81,/081,magnemite,magnemite,Electric,Steel,325,25,35,70,95,55,45,1,FALSE
82,/082,magneton,magneton,Electric,Steel,465,50,60,95,120,70,70,1,FALSE
83,/083,farfetch'd,farfetchd,Normal,Flying,352,52,65,55,58,62,60,1,FALSE
84,/084,doduo,doduo,Normal,Flying,310,35,85,45,35,35,75,1,FALSE
85,/085,dodrio,dodrio,Normal,Flying,460,60,110,70,60,60,100,1,FALSE
86,/086,seel,seel,Water,,325,65,45,55,45,70,45,1,FALSE
87,/087,dewgong,dewgong,Water,Ice,475,90,70,80,70,95,70,1,FALSE
88,/088,grimer,grimer,Poison,,325,80,80,50,40,50,25,1,FALSE
89,/089,muk,muk,Poison,,500,105,105,75,65,100,50,1,FALSE
90,/090,shellder,shellder,Water,,305,30,65,100,45,25,40,1,FALSE
91,/091,cloyster,cloyster,Water,Ice,525,50,95,180,85,45,70,1,FALSE
92,/092,gastly,gastly,Ghost,Poison,310,30,35,30,100,35,80,1,FALSE
93,/093,haunter,haunter,Ghost,Poison,405,45,50,45,115,55,95,1,FALSE
94,/094,gengar,gengar,Ghost,Poison,500,60,65,60,130,75,110,1,FALSE
94,/094_1,gengarmega gengar,gengar-mega,Ghost,Poison,600,60,65,80,170,95,130,1,FALSE
95,/095,onix,onix,Rock,Ground,385,35,45,160,30,45,70,1,FALSE
96,/096,drowzee,drowzee,Psychic,,328,60,48,45,43,90,42,1,FALSE
97,/097,hypno,hypno,Psychic,,483,85,73,70,73,115,67,1,FALSE
98,/098,krabby,krabby,Water,,325,30,105,90,25,25,50,1,FALSE
99,/099,kingler,kingler,Water,,475,55,130,115,50,50,75,1,FALSE
100,/100,voltorb,voltorb,Electric,,330,40,30,50,55,55,100,1,FALSE
101,/101,electrode,electrode,Electric,,480,60,50,70,80,80,140,1,FALSE
102,/102,exeggcute,exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,FALSE
103,/103,exeggutor,exeggutor,Grass,Psychic,520,95,95,85,125,65,55,1,FALSE
104,/104,cubone,cubone,Ground,,320,50,50,95,40,50,35,1,FALSE
105,/105,marowak,marowak,Ground,,425,60,80,110,50,80,45,1,FALSE
106,/106,hitmonlee,hitmonlee,Fighting,,455,50,120,53,35,110,87,1,FALSE
107,/107,hitmonchan,hitmonchan,Fighting,,455,50,105,79,35,110,76,1,FALSE
108,/108,lickitung,lickitung,Normal,,385,90,55,75,60,75,30,1,FALSE
109,/109,koffing,koffing,Poison,,340,40,65,95,60,45,35,1,FALSE
110,/110,weezing,weezing,Poison,,490,65,90,120,85,70,60,1,FALSE
111,/111,rhyhorn,rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,FALSE
112,/112,rhydon,rhydon,Ground,Rock,485,105,130,120,45,45,40,1,FALSE
113,/113,chansey,chansey,Normal,,450,250,5,5,35,105,50,1,FALSE
114,/114,tangela,tangela,Grass,,435,65,55,115,100,40,60,1,FALSE
115,/115,kangaskhan,kangaskhan,Normal,,490,105,95,80,40,80,90,1,FALSE
115,/115_1,kangaskhanmega kangaskhan,kangaskhan-mega,Normal,,590,105,125,100,60,100,100,1,FALSE
116,/116,horsea,horsea,Water,,295,30,40,70,70,25,60,1,FALSE
117,/117,seadra,seadra,Water,,440,55,65,95,95,45,85,1,FALSE
118,/118,goldeen,goldeen,Water,,320,45,67,60,35,50,63,1,FALSE
119,/119,seaking,seaking,Water,,450,80,92,65,65,80,68,1,FALSE
120,/120,staryu,staryu,Water,,340,30,45,55,70,55,85,1,FALSE
121,/121,starmie,starmie,Water,Psychic,520,60,75,85,100,85,115,1,FALSE
122,/122,mr. mime,mr. mime,Psychic,Fairy,460,40,45,65,100,120,90,1,FALSE
123,/123,scyther,scyther,Bug,Flying,500,70,110,80,55,80,105,1,FALSE
124,/124,jynx,jynx,Ice,Psychic,455,65,50,35,115,95,95,1,FALSE
125,/125,electabuzz,electabuzz,Electric,,490,65,83,57,95,85,105,1,FALSE
126,/126,magmar,magmar,Fire,,495,65,95,57,100,85,93,1,FALSE
127,/127,pinsir,pinsir,Bug,,500,65,125,100,55,70,85,1,FALSE
127,/127_1,pinsirmega pinsir,pinsir-mega,Bug,Flying,600,65,155,120,65,90,105,1,FALSE
128,/128,tauros,tauros,Normal,,490,75,100,95,40,70,110,1,FALSE
129,/129,magikarp,magikarp,Water,,200,20,10,55,15,20,80,1,FALSE
130,/130,gyarados,gyarados,Water,Flying,540,95,125,79,60,100,81,1,FALSE
130,/130_1,gyaradosmega gyarados,gyarados-mega,Water,Dark,640,95,155,109,70,130,81,1,FALSE
131,/131,lapras,lapras,Water,Ice,535,130,85,80,85,95,60,1,FALSE
132,/132,ditto,ditto,Normal,,288,48,48,48,48,48,48,1,FALSE
133,/133,eevee,eevee,Normal,,325,55,55,50,45,65,55,1,FALSE
134,/134,vaporeon,vaporeon,Water,,525,130,65,60,110,95,65,1,FALSE
135,/135,jolteon,jolteon,Electric,,525,65,65,60,110,95,130,1,FALSE
136,/136,flareon,flareon,Fire,,525,65,130,60,95,110,65,1,FALSE
137,/137,porygon,porygon,Normal,,395,65,60,70,85,75,40,1,FALSE
138,/138,omanyte,omanyte,Rock,Water,355,35,40,100,90,55,35,1,FALSE
139,/139,omastar,omastar,Rock,Water,495,70,60,125,115,70,55,1,FALSE
140,/140,kabuto,kabuto,Rock,Water,355,30,80,90,55,45,55,1,FALSE
141,/141,kabutops,kabutops,Rock,Water,495,60,115,105,65,70,80,1,FALSE
142,/142,aerodactyl,aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,FALSE
142,/142_1,aerodactylmega aerodactyl,aerodactyl-mega,Rock,Flying,615,80,135,85,70,95,150,1,FALSE
143,/143,snorlax,snorlax,Normal,,540,160,110,65,65,110,30,1,FALSE
144,/144,articuno,articuno,Ice,Flying,580,90,85,100,95,125,85,1,TRUE
145,/145,zapdos,zapdos,Electric,Flying,580,90,90,85,125,90,100,1,TRUE
146,/146,moltres,moltres,Fire,Flying,580,90,100,90,125,85,90,1,TRUE
147,/147,dratini,dratini,Dragon,,300,41,64,45,50,50,50,1,FALSE
148,/148,dragonair,dragonair,Dragon,,420,61,84,65,70,70,70,1,FALSE
149,/149,dragonite,dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,FALSE
150,/150,mewtwo,mewtwo,Psychic,,680,106,110,90,154,90,130,1,TRUE
150,/150_1,mewtwomega mewtwo x,mewtwo-mega-x,Psychic,Fighting,780,106,190,100,154,100,130,1,TRUE
150,/150_2,mewtwomega mewtwo y,mewtwo-mega-y,Psychic,,780,106,150,70,194,120,140,1,TRUE
151,/151,mew,mew,Psychic,,600,100,100,100,100,100,100,1,FALSE
152,/152,chikorita,chikorita,Grass,,318,45,49,65,49,65,45,2,FALSE
153,/153,bayleef,bayleef,Grass,,405,60,62,80,63,80,60,2,FALSE
154,/154,meganium,meganium,Grass,,525,80,82,100,83,100,80,2,FALSE
155,/155,cyndaquil,cyndaquil,Fire,,309,39,52,43,60,50,65,2,FALSE
156,/156,quilava,quilava,Fire,,405,58,64,58,80,65,80,2,FALSE
157,/157,typhlosion,typhlosion,Fire,,534,78,84,78,109,85,100,2,FALSE
158,/158,totodile,totodile,Water,,314,50,65,64,44,48,43,2,FALSE
159,/159,croconaw,croconaw,Water,,405,65,80,80,59,63,58,2,FALSE
160,/160,feraligatr,feraligatr,Water,,530,85,105,100,79,83,78,2,FALSE
161,/161,sentret,sentret,Normal,,215,35,46,34,35,45,20,2,FALSE
162,/162,furret,furret,Normal,,415,85,76,64,45,55,90,2,FALSE
163,/163,hoothoot,hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,FALSE
164,/164,noctowl,noctowl,Normal,Flying,442,100,50,50,76,96,70,2,FALSE
165,/165,ledyba,ledyba,Bug,Flying,265,40,20,30,40,80,55,2,FALSE
166,/166,ledian,ledian,Bug,Flying,390,55,35,50,55,110,85,2,FALSE
167,/167,spinarak,spinarak,Bug,Poison,250,40,60,40,40,40,30,2,FALSE
168,/168,ariados,ariados,Bug,Poison,390,70,90,70,60,60,40,2,FALSE
169,/169,crobat,crobat,Poison,Flying,535,85,90,80,70,80,130,2,FALSE
170,/170,chinchou,chinchou,Water,Electric,330,75,38,38,56,56,67,2,FALSE
171,/171,lanturn,lanturn,Water,Electric,460,125,58,58,76,76,67,2,FALSE
172,/172,pichu,pichu,Electric,,205,20,40,15,35,35,60,2,FALSE
173,/173,cleffa,cleffa,Fairy,,218,50,25,28,45,55,15,2,FALSE
174,/174,igglybuff,igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,FALSE
175,/175,togepi,togepi,Fairy,,245,35,20,65,40,65,20,2,FALSE
176,/176,togetic,togetic,Fairy,Flying,405,55,40,85,80,105,40,2,FALSE
177,/177,natu,natu,Psychic,Flying,320,40,50,45,70,45,70,2,FALSE
178,/178,xatu,xatu,Psychic,Flying,470,65,75,70,95,70,95,2,FALSE
179,/179,mareep,mareep,Electric,,280,55,40,40,65,45,35,2,FALSE
180,/180,flaaffy,flaaffy,Electric,,365,70,55,55,80,60,45,2,FALSE
181,/181,ampharos,ampharos,Electric,,510,90,75,85,115,90,55,2,FALSE
181,/181_1,ampharosmega ampharos,ampharos-mega,Electric,Dragon,610,90,95,105,165,110,45,2,FALSE
182,/182,bellossom,bellossom,Grass,,490,75,80,95,90,100,50,2,FALSE
183,/183,marill,marill,Water,Fairy,250,70,20,50,20,50,40,2,FALSE
184,/184,azumarill,azumarill,Water,Fairy,420,100,50,80,60,80,50,2,FALSE
185,/185,sudowoodo,sudowoodo,Rock,,410,70,100,115,30,65,30,2,FALSE
186,/186,politoed,politoed,Water,,500,90,75,75,90,100,70,2,FALSE
187,/187,hoppip,hoppip,Grass,Flying,250,35,35,40,35,55,50,2,FALSE
188,/188,skiploom,skiploom,Grass,Flying,340,55,45,50,45,65,80,2,FALSE
189,/189,jumpluff,jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,FALSE
190,/190,aipom,aipom,Normal,,360,55,70,55,40,55,85,2,FALSE
191,/191,sunkern,sunkern,Grass,,180,30,30,30,30,30,30,2,FALSE
192,/192,sunflora,sunflora,Grass,,425,75,75,55,105,85,30,2,FALSE
193,/193,yanma,yanma,Bug,Flying,390,65,65,45,75,45,95,2,FALSE
194,/194,wooper,wooper,Water,Ground,210,55,45,45,25,25,15,2,FALSE
195,/195,quagsire,quagsire,Water,Ground,430,95,85,85,65,65,35,2,FALSE
196,/196,espeon,espeon,Psychic,,525,65,65,60,130,95,110,2,FALSE
197,/197,umbreon,umbreon,Dark,,525,95,65,110,60,130,65,2,FALSE
198,/198,murkrow,murkrow,Dark,Flying,405,60,85,42,85,42,91,2,FALSE
199,/199,slowking,slowking,Water,Psychic,490,95,75,80,100,110,30,2,FALSE
200,/200,misdreavus,misdreavus,Ghost,,435,60,60,60,85,85,85,2,FALSE
201,/201,unown,unown,Psychic,,336,48,72,48,72,48,48,2,FALSE
202,/202,wobbuffet,wobbuffet,Psychic,,405,190,33,58,33,58,33,2,FALSE
203,/203,girafarig,girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,FALSE
204,/204,pineco,pineco,Bug,,290,50,65,90,35,35,15,2,FALSE
205,/205,forretress,forretress,Bug,Steel,465,75,90,140,60,60,40,2,FALSE
206,/206,dunsparce,dunsparce,Normal,,415,100,70,70,65,65,45,2,FALSE
207,/207,gligar,gligar,Ground,Flying,430,65,75,105,35,65,85,2,FALSE
208,/208,steelix,steelix,Steel,Ground,510,75,85,200,55,65,30,2,FALSE
208,/208_1,steelixmega steelix,steelix-mega,Steel,Ground,610,75,125,230,55,95,30,2,FALSE
209,/209,snubbull,snubbull,Fairy,,300,60,80,50,40,40,30,2,FALSE
210,/210,granbull,granbull,Fairy,,450,90,120,75,60,60,45,2,FALSE
211,/211,qwilfish,qwilfish,Water,Poison,430,65,95,75,55,55,85,2,FALSE
212,/212,scizor,scizor,Bug,Steel,500,70,130,100,55,80,65,2,FALSE
212,/212_1,scizormega scizor,scizor-mega,Bug,Steel,600,70,150,140,65,100,75,2,FALSE
213,/213,shuckle,shuckle,Bug,Rock,505,20,10,230,10,230,5,2,FALSE
214,/214,heracross,heracross,Bug,Fighting,500,80,125,75,40,95,85,2,FALSE
214,/214_1,heracrossmega heracross,heracross-mega,Bug,Fighting,600,80,185,115,40,105,75,2,FALSE
215,/215,sneasel,sneasel,Dark,Ice,430,55,95,55,35,75,115,2,FALSE
216,/216,teddiursa,teddiursa,Normal,,330,60,80,50,50,50,40,2,FALSE
217,/217,ursaring,ursaring,Normal,,500,90,130,75,75,75,55,2,FALSE
218,/218,slugma,slugma,Fire,,250,40,40,40,70,40,20,2,FALSE
219,/219,magcargo,magcargo,Fire,Rock,410,50,50,120,80,80,30,2,FALSE
220,/220,swinub,swinub,Ice,Ground,250,50,50,40,30,30,50,2,FALSE
221,/221,piloswine,piloswine,Ice,Ground,450,100,100,80,60,60,50,2,FALSE
222,/222,corsola,corsola,Water,Rock,380,55,55,85,65,85,35,2,FALSE
223,/223,remoraid,remoraid,Water,,300,35,65,35,65,35,65,2,FALSE
224,/224,octillery,octillery,Water,,480,75,105,75,105,75,45,2,FALSE
225,/225,delibird,delibird,Ice,Flying,330,45,55,45,65,45,75,2,FALSE
226,/226,mantine,mantine,Water,Flying,465,65,40,70,80,140,70,2,FALSE
227,/227,skarmory,skarmory,Steel,Flying,465,65,80,140,40,70,70,2,FALSE
228,/228,houndour,houndour,Dark,Fire,330,45,60,30,80,50,65,2,FALSE
229,/229,houndoom,houndoom,Dark,Fire,500,75,90,50,110,80,95,2,FALSE
229,/229_1,houndoommega houndoom,houndoom-mega,Dark,Fire,600,75,90,90,140,90,115,2,FALSE
230,/230,kingdra,kingdra,Water,Dragon,540,75,95,95,95,95,85,2,FALSE
231,/231,phanpy,phanpy,Ground,,330,90,60,60,40,40,40,2,FALSE
232,/232,donphan,donphan,Ground,,500,90,120,120,60,60,50,2,FALSE
233,/233,porygon2,porygon2,Normal,,515,85,80,90,105,95,60,2,FALSE
234,/234,stantler,stantler,Normal,,465,73,95,62,85,65,85,2,FALSE
235,/235,smeargle,smeargle,Normal,,250,55,20,35,20,45,75,2,FALSE
236,/236,tyrogue,tyrogue,Fighting,,210,35,35,35,35,35,35,2,FALSE
237,/237,hitmontop,hitmontop,Fighting,,455,50,95,95,35,110,70,2,FALSE
238,/238,smoochum,smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,FALSE
239,/239,elekid,elekid,Electric,,360,45,63,37,65,55,95,2,FALSE
240,/240,magby,magby,Fire,,365,45,75,37,70,55,83,2,FALSE
241,/241,miltank,miltank,Normal,,490,95,80,105,40,70,100,2,FALSE
242,/242,blissey,blissey,Normal,,540,255,10,10,75,135,55,2,FALSE
243,/243,raikou,raikou,Electric,,580,90,85,75,115,100,115,2,TRUE
244,/244,entei,entei,Fire,,580,115,115,85,90,75,100,2,TRUE
245,/245,suicune,suicune,Water,,580,100,75,115,90,115,85,2,TRUE
246,/246,larvitar,larvitar,Rock,Ground,300,50,64,50,45,50,41,2,FALSE
247,/247,pupitar,pupitar,Rock,Ground,410,70,84,70,65,70,51,2,FALSE
248,/248,tyranitar,tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,FALSE
248,/248_1,tyranitarmega tyranitar,tyranitar-mega,Rock,Dark,700,100,164,150,95,120,71,2,FALSE
249,/249,lugia,lugia,Psychic,Flying,680,106,90,130,90,154,110,2,TRUE
250,/250,ho-oh,ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,TRUE
251,/251,celebi,celebi,Psychic,Grass,600,100,100,100,100,100,100,2,FALSE
252,/252,treecko,treecko,Grass,,310,40,45,35,65,55,70,3,FALSE
253,/253,grovyle,grovyle,Grass,,405,50,65,45,85,65,95,3,FALSE
254,/254,sceptile,sceptile,Grass,,530,70,85,65,105,85,120,3,FALSE
254,/254_1,sceptilemega sceptile,sceptile-mega,Grass,Dragon,630,70,110,75,145,85,145,3,FALSE
255,/255,torchic,torchic,Fire,,310,45,60,40,70,50,45,3,FALSE
256,/256,combusken,combusken,Fire,Fighting,405,60,85,60,85,60,55,3,FALSE
257,/257,blaziken,blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,FALSE
257,/257_1,blazikenmega blaziken,blaziken-mega,Fire,Fighting,630,80,160,80,130,80,100,3,FALSE
258,/258,mudkip,mudkip,Water,,310,50,70,50,50,50,40,3,FALSE
259,/259,marshtomp,marshtomp,Water,Ground,405,70,85,70,60,70,50,3,FALSE
260,/260,swampert,swampert,Water,Ground,535,100,110,90,85,90,60,3,FALSE
260,/260_1,swampertmega swampert,swampert-mega,Water,Ground,635,100,150,110,95,110,70,3,FALSE
261,/261,poochyena,poochyena,Dark,,220,35,55,35,30,30,35,3,FALSE
262,/262,mightyena,mightyena,Dark,,420,70,90,70,60,60,70,3,FALSE
263,/263,zigzagoon,zigzagoon,Normal,,240,38,30,41,30,41,60,3,FALSE
264,/264,linoone,linoone,Normal,,420,78,70,61,50,61,100,3,FALSE
265,/265,wurmple,wurmple,Bug,,195,45,45,35,20,30,20,3,FALSE
266,/266,silcoon,silcoon,Bug,,205,50,35,55,25,25,15,3,FALSE
267,/267,beautifly,beautifly,Bug,Flying,395,60,70,50,100,50,65,3,FALSE
268,/268,cascoon,cascoon,Bug,,205,50,35,55,25,25,15,3,FALSE
269,/269,dustox,dustox,Bug,Poison,385,60,50,70,50,90,65,3,FALSE
270,/270,lotad,lotad,Water,Grass,220,40,30,30,40,50,30,3,FALSE
271,/271,lombre,lombre,Water,Grass,340,60,50,50,60,70,50,3,FALSE
272,/272,ludicolo,ludicolo,Water,Grass,480,80,70,70,90,100,70,3,FALSE
273,/273,seedot,seedot,Grass,,220,40,40,50,30,30,30,3,FALSE
274,/274,nuzleaf,nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,FALSE
275,/275,shiftry,shiftry,Grass,Dark,480,90,100,60,90,60,80,3,FALSE
276,/276,taillow,taillow,Normal,Flying,270,40,55,30,30,30,85,3,FALSE
277,/277,swellow,swellow,Normal,Flying,430,60,85,60,50,50,125,3,FALSE
278,/278,wingull,wingull,Water,Flying,270,40,30,30,55,30,85,3,FALSE
279,/279,pelipper,pelipper,Water,Flying,430,60,50,100,85,70,65,3,FALSE
280,/280,ralts,ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,FALSE
281,/281,kirlia,kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,FALSE
282,/282,gardevoir,gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,FALSE
282,/282_1,gardevoirmega gardevoir,gardevoir-mega,Psychic,Fairy,618,68,85,65,165,135,100,3,FALSE
283,/283,surskit,surskit,Bug,Water,269,40,30,32,50,52,65,3,FALSE
284,/284,masquerain,masquerain,Bug,Flying,414,70,60,62,80,82,60,3,FALSE
285,/285,shroomish,shroomish,Grass,,295,60,40,60,40,60,35,3,FALSE
286,/286,breloom,breloom,Grass,Fighting,460,60,130,80,60,60,70,3,FALSE
287,/287,slakoth,slakoth,Normal,,280,60,60,60,35,35,30,3,FALSE
288,/288,vigoroth,vigoroth,Normal,,440,80,80,80,55,55,90,3,FALSE
289,/289,slaking,slaking,Normal,,670,150,160,100,95,65,100,3,FALSE
290,/290,nincada,nincada,Bug,Ground,266,31,45,90,30,30,40,3,FALSE
291,/291,ninjask,ninjask,Bug,Flying,456,61,90,45,50,50,160,3,FALSE
292,/292,shedinja,shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,FALSE
293,/293,whismur,whismur,Normal,,240,64,51,23,51,23,28,3,FALSE
294,/294,loudred,loudred,Normal,,360,84,71,43,71,43,48,3,FALSE
295,/295,exploud,exploud,Normal,,490,104,91,63,91,73,68,3,FALSE
296,/296,makuhita,makuhita,Fighting,,237,72,60,30,20,30,25,3,FALSE
297,/297,hariyama,hariyama,Fighting,,474,144,120,60,40,60,50,3,FALSE
